"","County","Child_Mortality","CMBIN","Severe_Housing_Issues","SHBIN","CountyPOP","WhiteBlackSeg","WhiteBlackBin","WhiteNonWhiteSeg","WhiteNonWhiteBin","Limited Access to Healthy Foods","Children in Poverty","High School Graduation","ChildPovertyRank","GradRank","FoodRank","SOL PassRate","SOL AdvPassRate","PassRank","AdvPassRank"
"105","Roanoke City","0.66251349100000001","Moderate",0.19,"High",93583,"58","Very High","50","Very High","0.08",0.32,0.9,"Very High","Moderate","Very Low",75.2333333333333,17.4333333333333,"Moderate","Moderate"
"106","Rockbridge","NA","NA",0.12,"Low",22509,"36","High","24","Moderate","0.05",0.17,0.91,"Low","High","Very Low",78.9333333333333,18.8,"High","Moderate"
"107","Rockingham","0.465736871","Low",0.12,"Low",79444,"51","Very High","34","High","0.06",0.09,0.94,"Very Low","High","Very Low",80.4137931034483,17.3448275862069,"High","Moderate"
"108","Russell","0.474314069","Low",0.13,"Low",27408,"69","Very High","48","Very High","0.02",0.22,0.9,"Moderate","Moderate","Very Low",84.1481481481482,15.3703703703704,"Very High","Low"
"109","Salem City","0.50942434999999997","Moderate",0.15,"Moderate",25519,"48","Very High","40","High","0.12",0.12,0.97,"Low","Very High","Low",82.4137931034483,18.448275862069,"High","Moderate"
"110","Scott","NA","NA",0.11,"Low",22009,"NA","NA","55","Very High","0.04",0.25,0.95,"High","High","Very Low",87.9285714285714,18.25,"Very High","Moderate"
"111","Shenandoah","NA","NA",0.12,"Low",43045,"39","High","29","Moderate","0.03",0.15,0.97,"Low","Very High","Very Low",71.9642857142857,11.5,"Moderate","Low"
"112","Smyth","0.51514858799999996","Moderate",0.11,"Low",31059,"52","Very High","33","High","0.06",0.25,0.95,"High","High","Very Low",79.9310344827586,14.4137931034483,"High","Low"
"113","Southampton","0.66893360800000001","Moderate",0.12,"Low",17939,"11","Low","10","Very Low","0.14000000000000001",0.2,0.87,"Moderate","Moderate","Low",82.9642857142857,15.1071428571429,"Very High","Low"
"114","Spotsylvania","0.44135999799999998","Low",0.13,"Low",131412,"18","Low","19","Low","0.04",0.1,0.91,"Very Low","High","Very Low",79.0666666666667,17.0333333333333,"High","Low"
"115","Stafford","0.42357581300000002","Low",0.11,"Low",144012,"23","Moderate","25","Moderate","0.03",0.07,0.95,"Very Low","High","Very Low",82.7096774193548,20.1290322580645,"High","Moderate"
"116","Staunton City","0.49075740200000001","Low",0.17,"High",24452,"16","Low","19","Low","0.02",0.19,0.9,"Moderate","Moderate","Very Low",73.6428571428571,14.7857142857143,"Moderate","Low"
"117","Suffolk City","0.48227904900000002","Low",0.16,"Moderate",89160,"43","Very High","42","Very High","0.06",0.16,0.87,"Low","Moderate","Very Low",76.9333333333333,13.2333333333333,"High","Low"
"118","Surry","NA","NA",0.09,"Very Low",6600,"1","Very Low","1","Very Low","0.1",0.2,0.94,"Moderate","High","Very Low",78.2142857142857,10.2142857142857,"High","Very Low"
"119","Sussex","NA","NA",0.13,"Low",11486,"18","Low","17","Low","0.18",0.3,0.89,"High","Moderate","Low",77.1071428571429,12.1428571428571,"High","Low"
"120","Tazewell","0.45152091300000002","Low",0.1,"Very Low",42080,"53","Very High","27","Moderate","0.08",0.24,0.89,"Moderate","Moderate","Very Low",86.5714285714286,18.3571428571429,"Very High","Moderate"
"121","Virginia Beach City","0.39099381300000002","Low",0.16,"Moderate",450135,"36","High","34","High","0.03",0.1,0.93,"Very Low","High","Very Low",84.3870967741936,20.6129032258065,"Very High","Moderate"
"122","Warren","0.60838044099999999","Moderate",0.12,"Low",39449,"38","High","29","Moderate","0.03",0.14,0.94,"Low","High","Very Low",74.7857142857143,13.9285714285714,"Moderate","Low"
"123","Washington","0.33084586300000002","Low",0.1,"Very Low",54406,"59","Very High","27","Moderate","0.03",0.21,0.94,"Moderate","High","Very Low",86.1935483870968,22,"Very High","Moderate"
"124","Waynesboro City","0.54729544799999996","Moderate",0.15,"Moderate",21926,"27","Moderate","21","Moderate","0.04",0.25,0.83,"High","Low","Very Low",68.5357142857143,11.0357142857143,"Moderate","Very Low"
"125","Westmoreland","NA","NA",0.14,"Moderate",17638,"25","Moderate","21","Moderate","0.02",0.27,0.92,"High","High","Very Low",74.4285714285714,11.2142857142857,"Moderate","Low"
"126","Williamsburg City","NA","NA",0.22,"Very High",14788,"22","Moderate","23","Moderate","0.04",0.28,0.92,"High","High","Very Low",82.9032258064516,23.3225806451613,"Very High","High"
"127","Winchester City","0.53978192800000002","Moderate",0.2,"Very High",27789,"30","Moderate","21","Moderate","0.03",0.22,0.89,"Moderate","Moderate","Very Low",73.0714285714286,14.5,"Moderate","Low"
"128","Wise","0.61499039099999997","Moderate",0.13,"Low",39025,"58","Very High","29","Moderate","0.04",0.33,0.96,"Very High","Very High","Very Low",88.5,20.1071428571429,"Very High","Moderate"
"129","Wythe","NA","NA",0.12,"Low",28940,"48","Very High","43","Very High","0.02",0.24,0.94,"Moderate","High","Very Low",86.7407407407407,21.2222222222222,"Very High","Moderate"
"130","York","0.25152766100000001","Low",0.11,"Low",67587,"28","Moderate","27","Moderate","0.04",0.07,0.97,"Very Low","Very High","Very Low",89.1333333333333,22.6,"Very High","Moderate"
